TSLA,Date,Close
TSLA,3/2/2015,198.56
TSLA,3/3/2015,199.56
TSLA,3/4/2015,202.44
TSLA,3/5/2015,200.63
TSLA,3/6/2015,193.88
TSLA,3/9/2015,190.88
TSLA,3/10/2015,190.32
TSLA,3/11/2015,193.74
TSLA,3/12/2015,191.07
TSLA,3/13/2015,188.68
TSLA,3/16/2015,195.7
TSLA,3/17/2015,194.73
TSLA,3/18/2015,200.71
TSLA,3/19/2015,195.65
TSLA,3/20/2015,198.08
TSLA,3/23/2015,199.63
TSLA,3/24/2015,201.72
TSLA,3/25/2015,194.3
TSLA,3/26/2015,190.41
TSLA,3/27/2015,185
TSLA,3/30/2015,190.57
TSLA,3/31/2015,188.77
TSLA,4/1/2015,187.59
TSLA,4/2/2015,191
TSLA,4/6/2015,203.1
TSLA,4/7/2015,203.25
TSLA,4/8/2015,207.67
TSLA,4/9/2015,210.09
TSLA,4/10/2015,210.9
TSLA,4/13/2015,209.78
TSLA,4/14/2015,207.46
TSLA,4/15/2015,207.83
TSLA,4/16/2015,206.7
TSLA,4/17/2015,206.79
TSLA,4/20/2015,205.27
TSLA,4/21/2015,209.41
TSLA,4/22/2015,219.44
TSLA,4/23/2015,218.6
TSLA,4/24/2015,218.43
TSLA,4/27/2015,231.55
TSLA,4/28/2015,230.48
TSLA,4/29/2015,232.45
TSLA,4/30/2015,226.05
TSLA,5/1/2015,226.03
TSLA,5/4/2015,230.51
TSLA,5/5/2015,232.95
TSLA,5/6/2015,230.43
TSLA,5/7/2015,236.8
TSLA,5/8/2015,236.61
TSLA,5/11/2015,239.49
TSLA,5/12/2015,244.74
TSLA,5/13/2015,243.18
TSLA,5/14/2015,244.1
TSLA,5/15/2015,248.84
TSLA,5/18/2015,248.75
TSLA,5/19/2015,247.14
TSLA,5/20/2015,244.35
TSLA,5/21/2015,245.62
TSLA,5/22/2015,247.73
TSLA,5/26/2015,247.46
TSLA,5/27/2015,247.43
TSLA,5/28/2015,251.45
TSLA,5/29/2015,250.8
TSLA,6/1/2015,249.45
TSLA,6/2/2015,248.35
TSLA,6/3/2015,248.99
TSLA,6/4/2015,245.92
TSLA,6/5/2015,249.14
TSLA,6/8/2015,256.29
TSLA,6/9/2015,256
TSLA,6/10/2015,250.7
TSLA,6/11/2015,251.41
TSLA,6/12/2015,250.69
TSLA,6/15/2015,250.38
TSLA,6/16/2015,253.12
TSLA,6/17/2015,260.41
TSLA,6/18/2015,261.89
TSLA,6/19/2015,262.51
TSLA,6/22/2015,259.79
TSLA,6/23/2015,267.67
TSLA,6/24/2015,265.17
TSLA,6/25/2015,268.79
TSLA,6/26/2015,267.09
TSLA,6/29/2015,262.02
TSLA,6/30/2015,268.26
TSLA,7/1/2015,269.15
TSLA,7/2/2015,280.02
TSLA,7/6/2015,279.72
TSLA,7/7/2015,267.88
TSLA,7/8/2015,254.96
TSLA,7/9/2015,257.92
TSLA,7/10/2015,259.15
TSLA,7/13/2015,262.16
TSLA,7/14/2015,265.65
TSLA,7/15/2015,263.14
TSLA,7/16/2015,266.68
TSLA,7/17/2015,274.66
TSLA,7/20/2015,282.26
TSLA,7/21/2015,266.77
TSLA,7/22/2015,267.87
TSLA,7/23/2015,267.2
TSLA,7/24/2015,265.41
TSLA,7/27/2015,253.01
TSLA,7/28/2015,264.82
TSLA,7/29/2015,263.82
TSLA,7/30/2015,266.79
TSLA,7/31/2015,266.15
TSLA,8/3/2015,259.99
TSLA,8/4/2015,266.28
TSLA,8/5/2015,270.13
TSLA,8/6/2015,246.13
TSLA,8/7/2015,242.51
TSLA,8/10/2015,241.14
TSLA,8/11/2015,237.37
TSLA,8/12/2015,238.17
TSLA,8/13/2015,242.51
TSLA,8/14/2015,243.15
TSLA,8/17/2015,254.99
TSLA,8/18/2015,260.72
TSLA,8/19/2015,255.25
TSLA,8/20/2015,242.18
TSLA,8/21/2015,230.77
TSLA,8/24/2015,218.87
TSLA,8/25/2015,220.03
TSLA,8/26/2015,224.84
TSLA,8/27/2015,242.99
TSLA,8/28/2015,248.48
TSLA,8/31/2015,249.06
TSLA,9/1/2015,238.63
TSLA,9/2/2015,247.69
TSLA,9/3/2015,245.57
TSLA,9/4/2015,241.93
